vertex,x,y,truth
1,0,0,0
2,1,0,1
3,2,0,2
4,3,0,3
5,4,0,4
6,5,0,5
7,6,0,6
8,7,0,7
9,8,0,8
10,9,0,9
11,10,0,10
12,11,0,11
13,0,1,1
14,1,1,2
15,2,1,3
16,3,1,4
17,4,1,5
18,5,1,6
19,6,1,7
20,7,1,8
21,8,1,9
22,9,1,10
23,10,1,11
24,11,1,12
25,0,2,2
26,1,2,3
27,2,2,4
28,3,2,5
29,4,2,6
30,5,2,7
31,6,2,8
32,7,2,9
33,8,2,10
34,9,2,11
35,10,2,12
36,11,2,13
37,0,3,3
38,1,3,4
39,2,3,5
40,3,3,6
41,4,3,7
42,5,3,8
43,6,3,9
44,7,3,10
45,8,3,11
46,9,3,12
47,10,3,13
48,11,3,14
49,0,4,4
50,1,4,5
51,2,4,6
52,3,4,7
53,4,4,8
54,5,4,9
55,6,4,10
56,7,4,11
57,8,4,12
58,9,4,13
59,10,4,14
60,11,4,15
61,0,5,5
62,1,5,6
63,2,5,7
64,3,5,8
65,4,5,9
66,5,5,10
67,6,5,11
68,7,5,12
69,8,5,13
70,9,5,14
71,10,5,15
72,11,5,16
73,0,6,6
74,1,6,7
75,2,6,8
76,3,6,9
77,4,6,10
78,5,6,11
79,6,6,12
80,7,6,13
81,8,6,14
82,9,6,15
83,10,6,16
84,11,6,17
85,0,7,7
86,1,7,8
87,2,7,9
88,3,7,10
89,4,7,11
90,5,7,12
91,6,7,13
92,7,7,14
93,8,7,15
94,9,7,16
95,10,7,17
96,11,7,18
97,0,8,8
98,1,8,9
99,2,8,10
100,3,8,11
101,4,8,12
102,5,8,13
103,6,8,14
104,7,8,15
105,8,8,16
106,9,8,17
107,10,8,18
108,11,8,19
